--- Summary Report ---

Data Summary for Event_Type per State:
              Event_Type                State  Count
 Extreme Cold/Wind Chill                IDAHO     16
 Extreme Cold/Wind Chill                 IOWA      5
 Extreme Cold/Wind Chill               KANSAS      1
 Extreme Cold/Wind Chill             MICHIGAN      2
 Extreme Cold/Wind Chill            MINNESOTA    142
 Extreme Cold/Wind Chill              MONTANA     30
 Extreme Cold/Wind Chill             NEBRASKA     24
 Extreme Cold/Wind Chill         NORTH DAKOTA    228
 Extreme Cold/Wind Chill               OREGON     25
 Extreme Cold/Wind Chill         SOUTH DAKOTA     93
 Extreme Cold/Wind Chill           WASHINGTON      7
 Extreme Cold/Wind Chill              WYOMING      5
             Flash Flood              ALABAMA    138
             Flash Flood              ARIZONA    145
             Flash Flood             ARKANSAS    122
             Flash Flood           CALIFORNIA    119
             Flash Flood             COLORADO    147
             Flash Flood          CONNECTICUT     33
             Flash Flood             DELAWARE     24
             Flash Flood DISTRICT OF COLUMBIA      5
             Flash Flood              FLORIDA     78
             Flash Flood              GEORGIA    128
             Flash Flood               HAWAII     38
             Flash Flood                IDAHO     28
             Flash Flood             ILLINOIS    156
             Flash Flood              INDIANA     64
             Flash Flood                 IOWA    167
             Flash Flood               KANSAS    108
             Flash Flood             KENTUCKY    175
             Flash Flood            LOUISIANA     65
             Flash Flood                MAINE     24
             Flash Flood             MARYLAND     53
             Flash Flood        MASSACHUSETTS     28
             Flash Flood             MICHIGAN     12
             Flash Flood            MINNESOTA     49
             Flash Flood          MISSISSIPPI    101
             Flash Flood             MISSOURI    274
             Flash Flood              MONTANA     43
             Flash Flood             NEBRASKA     20
             Flash Flood               NEVADA     61
             Flash Flood        NEW HAMPSHIRE     20
             Flash Flood           NEW JERSEY     93
             Flash Flood           NEW MEXICO    161
             Flash Flood             NEW YORK    220
             Flash Flood       NORTH CAROLINA    150
             Flash Flood         NORTH DAKOTA     21
             Flash Flood                 OHIO    130
             Flash Flood             OKLAHOMA     88
             Flash Flood               OREGON      5
             Flash Flood         PENNSYLVANIA    182
             Flash Flood          PUERTO RICO     70
             Flash Flood         RHODE ISLAND      3
             Flash Flood       SOUTH CAROLINA    135
             Flash Flood         SOUTH DAKOTA     33
             Flash Flood            TENNESSEE     95
             Flash Flood                TEXAS    244
             Flash Flood                 UTAH    117
             Flash Flood              VERMONT     43
             Flash Flood       VIRGIN ISLANDS     10
             Flash Flood             VIRGINIA    118
             Flash Flood           WASHINGTON     17
             Flash Flood        WEST VIRGINIA     67
             Flash Flood            WISCONSIN     33
             Flash Flood              WYOMING     24
                   Flood              ALABAMA     38
                   Flood               ALASKA     23
                   Flood              ARIZONA      8
                   Flood             ARKANSAS     65
                   Flood           CALIFORNIA     19
                   Flood             COLORADO     26
                   Flood          CONNECTICUT      1
                   Flood             DELAWARE      8
                   Flood              FLORIDA     36
                   Flood              GEORGIA     23
                   Flood                 GUAM      3
                   Flood               HAWAII      2
                   Flood             ILLINOIS    177
                   Flood              INDIANA    112
                   Flood                 IOWA    149
                   Flood               KANSAS     90
                   Flood             KENTUCKY    143
                   Flood            LOUISIANA      8
                   Flood                MAINE      6
                   Flood             MARYLAND      4
                   Flood        MASSACHUSETTS     33
                   Flood             MICHIGAN     38
                   Flood            MINNESOTA     37
                   Flood             MISSOURI    184
                   Flood              MONTANA     22
                   Flood             NEBRASKA     28
                   Flood        NEW HAMPSHIRE      5
                   Flood           NEW JERSEY     48
                   Flood           NEW MEXICO     45
                   Flood             NEW YORK     33
                   Flood       NORTH CAROLINA     66
                   Flood         NORTH DAKOTA     28
                   Flood                 OHIO     92
                   Flood             OKLAHOMA     16
                   Flood               OREGON      4
                   Flood         PENNSYLVANIA    134
                   Flood          PUERTO RICO     85
                   Flood         RHODE ISLAND     13
                   Flood       SOUTH CAROLINA     58
                   Flood         SOUTH DAKOTA     28
                   Flood            TENNESSEE     45
                   Flood                TEXAS     34
                   Flood                 UTAH      6
                   Flood              VERMONT      9
                   Flood       VIRGIN ISLANDS     14
                   Flood             VIRGINIA     29
                   Flood           WASHINGTON      5
                   Flood        WEST VIRGINIA     31
                   Flood            WISCONSIN     63
                   Flood              WYOMING      2
            Freezing Fog             ARKANSAS      2
            Freezing Fog           NEW MEXICO      1
            Freezing Fog             OKLAHOMA      2
            Freezing Fog                TEXAS     19
            Freezing Fog             VIRGINIA      1
            Frost/Freeze              ALABAMA     13
            Frost/Freeze               ALASKA      2
            Frost/Freeze              ARIZONA     19
            Frost/Freeze             ARKANSAS     25
            Frost/Freeze           CALIFORNIA    100
            Frost/Freeze             COLORADO     25
            Frost/Freeze DISTRICT OF COLUMBIA      1
            Frost/Freeze              FLORIDA     24
            Frost/Freeze                IDAHO      1
            Frost/Freeze             ILLINOIS     55
            Frost/Freeze              INDIANA     18
            Frost/Freeze             KENTUCKY     66
            Frost/Freeze             MARYLAND     34
            Frost/Freeze             MICHIGAN     29
            Frost/Freeze             MISSOURI     33
            Frost/Freeze               NEVADA      3
            Frost/Freeze             NEW YORK     44
            Frost/Freeze               OREGON     73
            Frost/Freeze            TENNESSEE      3
            Frost/Freeze                TEXAS      4
            Frost/Freeze                 UTAH     12
            Frost/Freeze             VIRGINIA     52
            Frost/Freeze        WEST VIRGINIA     28
            Funnel Cloud              ALABAMA      1
            Funnel Cloud              ARIZONA      5
            Funnel Cloud             ARKANSAS     12
            Funnel Cloud           CALIFORNIA      2
            Funnel Cloud             COLORADO      4
            Funnel Cloud             DELAWARE      2
            Funnel Cloud              FLORIDA     35
            Funnel Cloud              GEORGIA      2
            Funnel Cloud               HAWAII      2
            Funnel Cloud             ILLINOIS     11
            Funnel Cloud              INDIANA      4
            Funnel Cloud                 IOWA     44
            Funnel Cloud               KANSAS      3
            Funnel Cloud             KENTUCKY      9
            Funnel Cloud            LOUISIANA      9
            Funnel Cloud             MARYLAND      1
            Funnel Cloud             MICHIGAN      2
            Funnel Cloud            MINNESOTA     13
            Funnel Cloud          MISSISSIPPI      1
            Funnel Cloud             MISSOURI     10
            Funnel Cloud              MONTANA     10
            Funnel Cloud             NEBRASKA     14
            Funnel Cloud           NEW MEXICO     13
            Funnel Cloud             NEW YORK      2
            Funnel Cloud       NORTH CAROLINA      2
            Funnel Cloud         NORTH DAKOTA     15
            Funnel Cloud                 OHIO      1
            Funnel Cloud               OREGON      3
            Funnel Cloud         PENNSYLVANIA      4
            Funnel Cloud       SOUTH CAROLINA      2
            Funnel Cloud         SOUTH DAKOTA      4
            Funnel Cloud            TENNESSEE      1
            Funnel Cloud                TEXAS     18
            Funnel Cloud                 UTAH      2
            Funnel Cloud             VIRGINIA      4
            Funnel Cloud           WASHINGTON      2
            Funnel Cloud            WISCONSIN     13
            Funnel Cloud              WYOMING     10
                    Hail              ALABAMA    120
                    Hail              ARIZONA     27
                    Hail             ARKANSAS     59
                    Hail           CALIFORNIA     21
                    Hail             COLORADO    148
                    Hail          CONNECTICUT      6
                    Hail             DELAWARE      2
                    Hail              FLORIDA     60
                    Hail              GEORGIA     84
                    Hail               HAWAII      2
                    Hail                IDAHO     19
                    Hail             ILLINOIS    281
                    Hail              INDIANA     81
                    Hail                 IOWA    495
                    Hail               KANSAS    444
                    Hail             KENTUCKY     39
                    Hail            LOUISIANA    100
                    Hail                MAINE     17
                    Hail             MARYLAND     15
                    Hail        MASSACHUSETTS     32
                    Hail             MICHIGAN    129
                    Hail            MINNESOTA    257
                    Hail          MISSISSIPPI    135
                    Hail             MISSOURI    310
                    Hail              MONTANA    396
                    Hail             NEBRASKA    648
                    Hail               NEVADA     11
                    Hail        NEW HAMPSHIRE     21
                    Hail           NEW JERSEY     10
                    Hail           NEW MEXICO    133
                    Hail             NEW YORK    207
                    Hail       NORTH CAROLINA     44
                    Hail         NORTH DAKOTA    201
                    Hail                 OHIO    207
                    Hail             OKLAHOMA    267
                    Hail               OREGON     36
                    Hail         PENNSYLVANIA     93
                    Hail          PUERTO RICO      7
                    Hail         RHODE ISLAND      1
                    Hail       SOUTH CAROLINA     46
                    Hail         SOUTH DAKOTA    447
                    Hail            TENNESSEE     50
                    Hail                TEXAS    998
                    Hail                 UTAH     21
                    Hail              VERMONT     22
                    Hail             VIRGINIA     62
                    Hail           WASHINGTON      8
                    Hail        WEST VIRGINIA     32
                    Hail            WISCONSIN    167
                    Hail              WYOMING    322
                    Heat              ALABAMA      6
                    Heat              ARIZONA      1
                    Heat             ARKANSAS      1
                    Heat           CALIFORNIA     15
                    Heat             DELAWARE      6
                    Heat DISTRICT OF COLUMBIA      1
                    Heat                IDAHO      6
                    Heat             ILLINOIS     64
                    Heat              INDIANA      6
                    Heat                 IOWA     21
                    Heat               KANSAS      5
                    Heat             KENTUCKY     17
                    Heat             MARYLAND     34
                    Heat        MASSACHUSETTS      1
                    Heat             MICHIGAN     18
                    Heat            MINNESOTA      1
                    Heat             MISSOURI     54
                    Heat             NEBRASKA     16
                    Heat               NEVADA      7
                    Heat           NEW JERSEY     49
                    Heat           NEW MEXICO      1
                    Heat             NEW YORK      1
                    Heat         PENNSYLVANIA     26
                    Heat         RHODE ISLAND      1
                    Heat                TEXAS      1
                    Heat                 UTAH      3
                    Heat             VIRGINIA     19
                    Heat            WISCONSIN      2
              Heavy Rain              ALABAMA     12
              Heavy Rain       AMERICAN SAMOA      1
              Heavy Rain              ARIZONA     55
              Heavy Rain             ARKANSAS     30
              Heavy Rain           CALIFORNIA      4
              Heavy Rain             COLORADO     17
              Heavy Rain             DELAWARE      1
              Heavy Rain              FLORIDA     27
              Heavy Rain              GEORGIA      7
              Heavy Rain               HAWAII    145
              Heavy Rain                IDAHO      4
              Heavy Rain             ILLINOIS     26
              Heavy Rain              INDIANA     20
              Heavy Rain                 IOWA    167
              Heavy Rain               KANSAS     48
              Heavy Rain             KENTUCKY     49
              Heavy Rain            LOUISIANA     12
              Heavy Rain             MARYLAND      3
              Heavy Rain             MICHIGAN      5
              Heavy Rain            MINNESOTA     72
              Heavy Rain             MISSOURI     66
              Heavy Rain              MONTANA     27
              Heavy Rain             NEBRASKA     63
              Heavy Rain               NEVADA      2
              Heavy Rain           NEW MEXICO      7
              Heavy Rain       NORTH CAROLINA     11
              Heavy Rain         NORTH DAKOTA      7
              Heavy Rain                 OHIO     29
              Heavy Rain             OKLAHOMA     10
              Heavy Rain               OREGON      1
              Heavy Rain         PENNSYLVANIA      6
              Heavy Rain          PUERTO RICO     25
              Heavy Rain       SOUTH CAROLINA     22
              Heavy Rain         SOUTH DAKOTA      6
              Heavy Rain            TENNESSEE     15
              Heavy Rain                TEXAS    119
              Heavy Rain                 UTAH      2
              Heavy Rain             VIRGINIA     36
              Heavy Rain           WASHINGTON      6
              Heavy Rain        WEST VIRGINIA     19
              Heavy Rain            WISCONSIN     34
              Heavy Rain              WYOMING      2
              Heavy Snow              ALABAMA     16
              Heavy Snow               ALASKA     25
              Heavy Snow              ARIZONA     30
              Heavy Snow             ARKANSAS      5
              Heavy Snow           CALIFORNIA     21
              Heavy Snow             COLORADO     77
              Heavy Snow          CONNECTICUT     21
              Heavy Snow              GEORGIA     17
              Heavy Snow                IDAHO     60
              Heavy Snow             ILLINOIS     61
              Heavy Snow              INDIANA     48
              Heavy Snow                 IOWA    141
              Heavy Snow               KANSAS     67
              Heavy Snow             KENTUCKY      2
              Heavy Snow            LOUISIANA      1
              Heavy Snow                MAINE     75
              Heavy Snow             MARYLAND      4
              Heavy Snow        MASSACHUSETTS     80
              Heavy Snow             MICHIGAN     38
              Heavy Snow            MINNESOTA     57
              Heavy Snow          MISSISSIPPI     28
              Heavy Snow             MISSOURI     36
              Heavy Snow              MONTANA    244
              Heavy Snow             NEBRASKA     86
              Heavy Snow               NEVADA     30
              Heavy Snow        NEW HAMPSHIRE     66
              Heavy Snow           NEW JERSEY     12
              Heavy Snow           NEW MEXICO     99
              Heavy Snow             NEW YORK     36
              Heavy Snow       NORTH CAROLINA      4
              Heavy Snow         NORTH DAKOTA     77
              Heavy Snow                 OHIO     11
              Heavy Snow             OKLAHOMA     22
              Heavy Snow               OREGON     32
              Heavy Snow         PENNSYLVANIA     39
              Heavy Snow         RHODE ISLAND     10
              Heavy Snow         SOUTH DAKOTA     24
              Heavy Snow                TEXAS     24
              Heavy Snow                 UTAH      9
              Heavy Snow             VIRGINIA     47
              Heavy Snow           WASHINGTON     23
              Heavy Snow        WEST VIRGINIA     36
              Heavy Snow            WISCONSIN     21
              Heavy Snow              WYOMING     22
               High Surf           CALIFORNIA      5
               High Surf                 GUAM      3
               High Surf               HAWAII    361
               High Surf       NORTH CAROLINA      1
               High Surf          PUERTO RICO      4
               High Wind              ALABAMA      4
               High Wind               ALASKA     54
               High Wind              ARIZONA     30
               High Wind           CALIFORNIA    155
               High Wind             COLORADO     39
               High Wind          CONNECTICUT      8
               High Wind             DELAWARE      6
               High Wind              GEORGIA      1
               High Wind                 GUAM      1
               High Wind               HAWAII     28
               High Wind                IDAHO     12
               High Wind             ILLINOIS      6
               High Wind              INDIANA      2
               High Wind                 IOWA     14
               High Wind               KANSAS     30
               High Wind             KENTUCKY      1
               High Wind            LOUISIANA      1
               High Wind             MARYLAND      1
               High Wind        MASSACHUSETTS     50
               High Wind             MICHIGAN     59
               High Wind            MINNESOTA      3
               High Wind          MISSISSIPPI      3
               High Wind             MISSOURI      3
               High Wind              MONTANA    335
               High Wind             NEBRASKA     25
               High Wind               NEVADA     21
               High Wind        NEW HAMPSHIRE      5
               High Wind           NEW JERSEY     24
               High Wind           NEW MEXICO    149
               High Wind             NEW YORK     83
               High Wind       NORTH CAROLINA     11
               High Wind         NORTH DAKOTA     12
               High Wind                 OHIO      3
               High Wind             OKLAHOMA     25
               High Wind               OREGON     44
               High Wind         PENNSYLVANIA      1
               High Wind         RHODE ISLAND      8
               High Wind       SOUTH CAROLINA      1
               High Wind         SOUTH DAKOTA     74
               High Wind            TENNESSEE     51
               High Wind                TEXAS    270
               High Wind                 UTAH     18
               High Wind             VIRGINIA      8
               High Wind           WASHINGTON     26
               High Wind        WEST VIRGINIA      1
               High Wind            WISCONSIN      6
               High Wind              WYOMING    477
               Hurricane                 GUAM      2
               Ice Storm               ALASKA     29
               Ice Storm             ARKANSAS     26
               Ice Storm             ILLINOIS      1
               Ice Storm                 IOWA     16
               Ice Storm             KENTUCKY      5
               Ice Storm            LOUISIANA      5
               Ice Storm                MAINE      7
               Ice Storm             MARYLAND      1
               Ice Storm             MICHIGAN     23
               Ice Storm            MINNESOTA      7
               Ice Storm          MISSISSIPPI     19
               Ice Storm             MISSOURI      9
               Ice Storm           NEW MEXICO      9
               Ice Storm             NEW YORK     15
               Ice Storm       NORTH CAROLINA      2
               Ice Storm                 OHIO      4
               Ice Storm             OKLAHOMA     27
               Ice Storm         PENNSYLVANIA      8
               Ice Storm            TENNESSEE     21
               Ice Storm                TEXAS     51
               Ice Storm                 UTAH      3
               Ice Storm              VERMONT      8
               Ice Storm             VIRGINIA     13
               Ice Storm        WEST VIRGINIA      7
               Ice Storm            WISCONSIN      1
        Lake-Effect Snow              INDIANA      8
        Lake-Effect Snow             MICHIGAN     80
        Lake-Effect Snow             NEW YORK     99
        Lake-Effect Snow                 OHIO      3
        Lake-Effect Snow         PENNSYLVANIA     14
        Lake-Effect Snow                 UTAH      1
               Lightning              ALABAMA     17
               Lightning              ARIZONA     13
               Lightning             ARKANSAS     22
               Lightning           CALIFORNIA      1
               Lightning             COLORADO      7
               Lightning          CONNECTICUT      3
               Lightning              FLORIDA     63
               Lightning              GEORGIA     18
               Lightning                 GUAM      1
               Lightning               HAWAII      7
               Lightning                IDAHO      4
               Lightning             ILLINOIS     16
               Lightning              INDIANA      3
               Lightning                 IOWA      4
               Lightning               KANSAS      2
               Lightning             KENTUCKY      7
