--- Summary Report ---

Data Summary for Event_Type per State:
              Event_Type                State  Count
       Thunderstorm Wind             OKLAHOMA    299
       Thunderstorm Wind               OREGON     35
       Thunderstorm Wind         PENNSYLVANIA    818
       Thunderstorm Wind          PUERTO RICO     12
       Thunderstorm Wind         RHODE ISLAND      3
       Thunderstorm Wind       SOUTH CAROLINA    365
       Thunderstorm Wind         SOUTH DAKOTA    222
       Thunderstorm Wind            TENNESSEE    364
       Thunderstorm Wind                TEXAS    688
       Thunderstorm Wind                 UTAH     58
       Thunderstorm Wind              VERMONT    104
       Thunderstorm Wind       VIRGIN ISLANDS      3
       Thunderstorm Wind             VIRGINIA    440
       Thunderstorm Wind           WASHINGTON     56
       Thunderstorm Wind        WEST VIRGINIA    219
       Thunderstorm Wind            WISCONSIN    235
       Thunderstorm Wind              WYOMING     97
                 Tornado              ALABAMA     21
                 Tornado              ARIZONA      1
                 Tornado             ARKANSAS     41
                 Tornado           CALIFORNIA      5
                 Tornado             COLORADO     26
                 Tornado          CONNECTICUT      4
                 Tornado              FLORIDA     27
                 Tornado              GEORGIA     25
                 Tornado                IDAHO      6
                 Tornado             ILLINOIS     68
                 Tornado              INDIANA     53
                 Tornado                 IOWA     30
                 Tornado               KANSAS     29
                 Tornado             KENTUCKY     44
                 Tornado            LOUISIANA     40
                 Tornado                MAINE      1
                 Tornado             MARYLAND     10
                 Tornado        MASSACHUSETTS      2
                 Tornado             MICHIGAN     14
                 Tornado            MINNESOTA     13
                 Tornado          MISSISSIPPI     36
                 Tornado             MISSOURI     40
                 Tornado              MONTANA      5
                 Tornado             NEBRASKA     51
                 Tornado           NEW JERSEY      3
                 Tornado           NEW MEXICO      2
                 Tornado             NEW YORK      5
                 Tornado       NORTH CAROLINA     10
                 Tornado         NORTH DAKOTA      8
                 Tornado                 OHIO     37
                 Tornado             OKLAHOMA     83
                 Tornado               OREGON      3
                 Tornado         PENNSYLVANIA      9
                 Tornado          PUERTO RICO      1
                 Tornado       SOUTH CAROLINA      8
                 Tornado         SOUTH DAKOTA     12
                 Tornado            TENNESSEE     47
                 Tornado                TEXAS     83
                 Tornado                 UTAH      1
                 Tornado             VIRGINIA      5
                 Tornado           WASHINGTON      2
                 Tornado            WISCONSIN     23
                 Tornado              WYOMING      8
          Tropical Storm       AMERICAN SAMOA      2
          Tropical Storm              GEORGIA     12
          Tropical Storm               HAWAII      9
          Tropical Storm          PUERTO RICO     10
          Tropical Storm       SOUTH CAROLINA     33
                 Tsunami             DELAWARE      1
                 Tsunami           NEW JERSEY      4
              Waterspout       ATLANTIC NORTH      2
              Waterspout       ATLANTIC SOUTH     59
              Waterspout            E PACIFIC      3
              Waterspout       GULF OF MEXICO    103
              Waterspout        HAWAII WATERS      3
              Waterspout            LAKE ERIE      9
              Waterspout        LAKE MICHIGAN      6
                Wildfire              ARIZONA      6
                Wildfire             ARKANSAS      2
                Wildfire           CALIFORNIA     35
                Wildfire             COLORADO      8
                Wildfire             DELAWARE      1
                Wildfire              GEORGIA     21
                Wildfire               HAWAII     10
                Wildfire                IDAHO     20
                Wildfire            LOUISIANA      1
                Wildfire             MISSOURI      1
                Wildfire              MONTANA      4
                Wildfire               NEVADA      3
                Wildfire           NEW JERSEY     10
                Wildfire           NEW MEXICO      8
                Wildfire               OREGON     19
                Wildfire         PENNSYLVANIA      2
                Wildfire          PUERTO RICO      2
                Wildfire       SOUTH CAROLINA      1
                Wildfire                TEXAS     12
                Wildfire                 UTAH      2
                Wildfire           WASHINGTON     14
                Wildfire              WYOMING      2
            Winter Storm               ALASKA     41
            Winter Storm              ARIZONA     12
            Winter Storm             ARKANSAS     56
            Winter Storm           CALIFORNIA     13
            Winter Storm             COLORADO    178
            Winter Storm          CONNECTICUT      2
            Winter Storm             DELAWARE      1
            Winter Storm                IDAHO     25
            Winter Storm             ILLINOIS    111
            Winter Storm              INDIANA     38
            Winter Storm                 IOWA    170
            Winter Storm               KANSAS    100
            Winter Storm             KENTUCKY     31
            Winter Storm            LOUISIANA      1
            Winter Storm             MARYLAND     27
            Winter Storm             MICHIGAN     93
            Winter Storm            MINNESOTA    286
            Winter Storm             MISSOURI    239
            Winter Storm              MONTANA    120
            Winter Storm             NEBRASKA    105
            Winter Storm           NEW JERSEY     39
            Winter Storm           NEW MEXICO      4
            Winter Storm             NEW YORK     71
            Winter Storm       NORTH CAROLINA      6
            Winter Storm         NORTH DAKOTA     71
            Winter Storm                 OHIO     24
            Winter Storm             OKLAHOMA     43
            Winter Storm         PENNSYLVANIA     76
            Winter Storm         SOUTH DAKOTA    108
            Winter Storm            TENNESSEE     20
            Winter Storm                TEXAS    116
            Winter Storm                 UTAH     91
            Winter Storm              VERMONT     41
            Winter Storm             VIRGINIA     85
            Winter Storm        WEST VIRGINIA     52
            Winter Storm            WISCONSIN    112
            Winter Storm              WYOMING    288
          Winter Weather              ALABAMA     36
          Winter Weather               ALASKA      5
          Winter Weather              ARIZONA      1
          Winter Weather             ARKANSAS    183
          Winter Weather           CALIFORNIA     11
          Winter Weather             COLORADO    307
          Winter Weather          CONNECTICUT      5
          Winter Weather             DELAWARE     31
          Winter Weather DISTRICT OF COLUMBIA      7
          Winter Weather              GEORGIA      3
          Winter Weather                IDAHO     24
          Winter Weather             ILLINOIS    134
          Winter Weather              INDIANA    109
          Winter Weather                 IOWA    121
          Winter Weather               KANSAS     39
          Winter Weather             KENTUCKY     88
          Winter Weather            LOUISIANA     30
          Winter Weather                MAINE      4
          Winter Weather             MARYLAND    154
          Winter Weather        MASSACHUSETTS     38
          Winter Weather             MICHIGAN    240
          Winter Weather            MINNESOTA     21
          Winter Weather          MISSISSIPPI     30
          Winter Weather             MISSOURI     58
          Winter Weather              MONTANA     64
          Winter Weather             NEBRASKA     75
          Winter Weather        NEW HAMPSHIRE      4
          Winter Weather           NEW JERSEY    204
          Winter Weather           NEW MEXICO      2
          Winter Weather             NEW YORK     32
          Winter Weather       NORTH CAROLINA     36
          Winter Weather                 OHIO     57
          Winter Weather             OKLAHOMA     67
          Winter Weather         PENNSYLVANIA    197
          Winter Weather         RHODE ISLAND     10
          Winter Weather       SOUTH CAROLINA      5
          Winter Weather         SOUTH DAKOTA     46
          Winter Weather            TENNESSEE    111
          Winter Weather                TEXAS    260
          Winter Weather                 UTAH     36
          Winter Weather              VERMONT     18
          Winter Weather             VIRGINIA    359
          Winter Weather           WASHINGTON      5
          Winter Weather        WEST VIRGINIA    184
          Winter Weather            WISCONSIN     59
          Winter Weather              WYOMING    117
